Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Buy Aggression, Sell Aggression
2026-7-30, 14:01:14.255011, 28200.00, 28229.25, 28190.50, 28228.25, 5250, 4692, 28212.00, 28216.00, 28209.88, 2381, 2869, 0.00, 0.00
2026-7-30, 14:07:15.756006, 28228.25, 28280.75, 28226.75, 28274.50, 5250, 4723, 28252.56, 28260.67, 28253.75, 2188, 3062, 0.00, 0.00
2026-7-30, 14:10:41.641000, 28274.00, 28296.50, 28270.75, 28275.00, 5250, 4429, 28279.06, 28280.75, 28283.63, 2483, 2767, 0.00, 0.00
2026-7-30, 14:14:30.510003, 28275.00, 28297.75, 28262.00, 28284.75, 5250, 4932, 28279.88, 28281.50, 28279.88, 2550, 2700, 0.00, 0.00
2026-7-30, 14:19:58.966000, 28284.50, 28287.75, 28254.75, 28266.75, 5250, 4834, 28273.44, 28269.75, 28271.25, 2845, 2405, 0.00, 0.00
2026-7-30, 14:26:38.982000, 28267.00, 28270.00, 28235.00, 28243.00, 5250, 4892, 28253.75, 28249.33, 28252.50, 2838, 2412, 0.00, 0.00
2026-7-30, 14:33:33.018001, 28243.25, 28257.25, 28219.75, 28239.00, 5250, 4839, 28239.81, 28238.67, 28238.50, 2719, 2531, 0.00, 0.00
2026-7-30, 14:39:44.726000, 28238.25, 28244.75, 28221.75, 28233.25, 5250, 4916, 28234.50, 28233.25, 28233.25, 2977, 2273, 0.00, 0.00
2026-7-30, 14:46:28.499000, 28233.00, 28241.75, 28210.50, 28210.75, 5250, 4871, 28224.00, 28221.00, 28226.13, 2814, 2436, 0.00, 0.00
2026-7-30, 14:51:14.324000, 28210.50, 28233.25, 28207.00, 28214.00, 5250, 4926, 28216.19, 28218.08, 28220.13, 2831, 2419, 0.00, 0.00
2026-7-30, 14:54:39.838000, 28213.75, 28241.00, 28202.50, 28230.75, 5250, 4869, 28222.00, 28224.75, 28221.75, 2481, 2769, 0.00, 0.00
2026-7-30, 14:56:40.191002, 28230.75, 28246.75, 28224.25, 28243.25, 5250, 4693, 28236.25, 28238.08, 28235.50, 2397, 2853, 0.00, 0.00
2026-7-30, 14:58:53.199000, 28243.50, 28262.50, 28237.75, 28254.25, 5250, 4589, 28249.50, 28251.50, 28250.13, 2650, 2600, 0.00, 0.00
2026-7-30, 14:59:33.667001, 28254.25, 28255.50, 28230.00, 28230.00, 5250, 4344, 28242.44, 28238.50, 28242.75, 2685, 2565, 0.00, 0.00
2026-7-30, 14:59:56.018055, 28230.00, 28234.00, 28205.50, 28230.25, 5250, 4528, 28224.94, 28223.25, 28219.75, 2683, 2567, 0.00, 0.00
2026-7-30, 15:00:17.607000, 28229.50, 28367.00, 28208.00, 28349.00, 5250, 4097, 28288.38, 28308.00, 28287.50, 2219, 3031, 28203.00, 0.00
2026-7-30, 15:01:49.278000, 28350.00, 28353.75, 28293.00, 28312.00, 5250, 4659, 28327.19, 28319.58, 28323.38, 2598, 2652, 0.00, 0.00
2026-7-30, 15:07:13.712000, 28312.25, 28351.00, 28284.00, 28338.25, 5250, 4356, 28321.38, 28324.42, 28317.50, 2254, 2996, 0.00, 0.00
2026-7-30, 15:17:08.141000, 28336.75, 28414.50, 28324.25, 28333.75, 5250, 4372, 28352.31, 28357.50, 28369.38, 2579, 2671, 0.00, 0.00
2026-7-30, 15:30:19.610000, 28334.50, 28369.25, 28311.00, 28343.25, 5250, 4246, 28339.50, 28341.17, 28340.13, 2702, 2548, 0.00, 0.00
2026-7-30, 15:42:04.454001, 28343.25, 28408.50, 28300.00, 28408.50, 5250, 4498, 28365.06, 28372.33, 28354.25, 2596, 2654, 0.00, 0.00
2026-7-30, 17:03:22.699003, 28408.75, 28413.75, 28331.00, 28385.00, 5250, 4795, 28384.63, 28376.58, 28372.38, 2730, 2520, 0.00, 0.00
2026-7-30, 17:38:01.638000, 28385.00, 28426.50, 28364.00, 28388.25, 5250, 4753, 28390.94, 28392.92, 28395.25, 2675, 2575, 0.00, 0.00
2026-7-30, 18:31:03.691001, 28388.00, 28447.50, 28362.25, 28447.50, 5250, 4750, 28411.31, 28419.08, 28404.88, 2572, 2678, 0.00, 0.00
2026-7-30, 19:06:03.242001, 28447.50, 28497.50, 28426.75, 28497.50, 5250, 4777, 28467.31, 28473.92, 28462.13, 2444, 2806, 0.00, 0.00
2026-7-30, 19:31:12.577000, 28497.75, 28552.00, 28468.75, 28544.25, 5250, 4753, 28515.69, 28521.67, 28510.38, 2383, 2867, 0.00, 0.00
2026-7-30, 20:03:48.274000, 28543.75, 28572.00, 28500.00, 28502.50, 5250, 4850, 28529.56, 28524.83, 28536.00, 2784, 2466, 0.00, 0.00
2026-7-30, 20:37:30.237000, 28502.25, 28512.50, 28441.00, 28446.50, 5250, 4865, 28475.56, 28466.67, 28476.75, 2902, 2348, 0.00, 0.00
2026-7-30, 21:11:52.184001, 28446.50, 28454.50, 28389.50, 28411.25, 5250, 4691, 28425.44, 28418.42, 28422.00, 2722, 2528, 0.00, 0.00
2026-7-30, 21:49:20.819000, 28411.00, 28478.25, 28397.75, 28457.50, 5250, 4859, 28436.13, 28444.50, 28438.00, 2395, 2855, 0.00, 0.00
2026-7-30, 22:36:00.811001, 28457.50, 28537.00, 28423.00, 28532.25, 5250, 4874, 28487.44, 28497.42, 28480.00, 2452, 2798, 0.00, 0.00
2026-7-30, 23:39:13.216000, 28532.00, 28581.00, 28532.00, 28553.25, 5250, 4820, 28549.56, 28555.42, 28556.50, 2506, 2744, 0.00, 0.00
2026-7-31, 00:38:02.029000, 28552.50, 28611.75, 28546.50, 28590.50, 5250, 4792, 28575.31, 28582.92, 28579.13, 2328, 2922, 0.00, 0.00
2026-7-31, 01:23:33.348000, 28590.75, 28593.50, 28457.50, 28470.50, 5250, 4603, 28528.06, 28507.17, 28525.50, 2918, 2332, 0.00, 0.00
2026-7-31, 01:46:28.274008, 28470.50, 28514.75, 28450.00, 28514.75, 5250, 4460, 28487.50, 28493.17, 28482.38, 2510, 2740, 0.00, 0.00
