DateTime,Open,High,Low,Close,LegVWAP,DeltaIntensity
2026-07-15 08:30:37,29957.84,29960.75,29937.00,29948.75,0.00,2.00
2026-07-15 08:31:05,29953.30,29961.25,29932.50,29946.50,0.00,-2.00
2026-07-15 08:31:20,29949.90,29949.90,29922.00,29929.94,0.00,-3.00
2026-07-15 08:31:38,29939.92,29939.92,29918.50,29926.88,0.00,-3.00
2026-07-15 08:31:58,29933.40,29950.75,29931.50,29937.50,0.00,-2.00
2026-07-15 08:32:22,29935.45,29944.00,29918.00,29929.31,0.00,-2.00
2026-07-15 08:32:50,29932.38,29936.00,29916.25,29923.75,0.00,-2.00
2026-07-15 08:33:20,29928.07,29932.25,29912.50,29924.75,0.00,-2.00
2026-07-15 08:34:00,29926.41,29943.75,29924.50,29935.31,0.00,-2.00
2026-07-15 08:34:39,29930.86,29962.00,29930.86,29952.44,0.00,-2.00
2026-07-15 08:35:05,29941.65,29966.50,29931.00,29947.62,0.00,-2.00
2026-07-15 08:35:23,29944.64,29944.64,29910.50,29924.94,0.00,-2.00
2026-07-15 08:35:39,29934.79,29934.79,29914.25,29921.38,0.00,-3.00
2026-07-15 08:36:16,29928.08,29931.00,29911.25,29922.75,0.00,-2.00
2026-07-15 08:36:53,29925.42,29943.00,29919.50,29927.88,0.00,-2.00
2026-07-15 08:37:15,29926.64,29926.64,29903.00,29913.56,0.00,-3.00
2026-07-15 08:37:35,29920.10,29920.10,29886.75,29899.00,0.00,-4.00
2026-07-15 08:37:51,29909.55,29909.55,29868.50,29878.19,0.00,-4.00
2026-07-15 08:38:03,29893.87,29893.87,29862.75,29868.44,0.00,-4.00
2026-07-15 08:38:18,29881.15,29884.50,29863.50,29872.69,0.00,-2.00
2026-07-15 08:38:38,29876.92,29877.00,29852.00,29867.81,0.00,-3.00
2026-07-15 08:38:54,29872.37,29894.00,29865.00,29876.62,0.00,-2.00
2026-07-15 08:39:15,29874.50,29887.75,29859.00,29874.31,0.00,-2.00
2026-07-15 08:39:42,29874.40,29885.75,29866.25,29872.81,0.00,-2.00
2026-07-15 08:40:13,29873.61,29874.25,29848.00,29859.50,0.00,-3.00
2026-07-15 08:40:30,29866.55,29866.55,29840.00,29846.44,0.00,-4.00
2026-07-15 08:40:44,29856.50,29858.25,29841.75,29847.31,0.00,-3.00
2026-07-15 08:41:12,29851.90,29867.75,29843.00,29852.25,0.00,-2.00
2026-07-15 08:41:51,29852.08,29870.75,29844.00,29859.56,0.00,-2.00
2026-07-15 08:42:43,29855.82,29872.00,29851.00,29863.56,0.00,2.00
